"acres"|"acquisitioncost"|"areaname"|"agency"
14345.94|26332700|"14"|"CONSERVATION"
296.39|447000|"15"|"CONSERVATION"
189.26|1488000|"17"|"CONSERVATION"
453.00|4912000|"18"|"CONSERVATION"
15309.27|6945500|"19"|"CONSERVATION"
749.64|5949000|"20"|"CONSERVATION"
722.88|5350000|"22"|"CONSERVATION"
7599.56|19600500|"24"|"CONSERVATION"
2968.49|0|"26"|"CONSERVATION"
2968.49|0|"28"|"CONSERVATION"
2022.52|37740000|"31"|"CONSERVATION"
6641.70|31632350|"35"|"CONSERVATION"
46082.66|55177000|"39"|"CONSERVATION"
5469.06|5574750|"40"|"CONSERVATION"
1524.28|24000|"42"|"CONSERVATION"
164.28|0|"44"|"CONSERVATION"
1130.31|4430302|"02"|"DEVELOPED RECREATION"
169.01|34.75|"03"|"DEVELOPED RECREATION"
3636.15|81885.5|"04"|"DEVELOPED RECREATION"
2979.26|13967548.15|"05"|"DEVELOPED RECREATION"
1396.77|99460.75|"06"|"DEVELOPED RECREATION"
1338.69|518135.41|"07"|"DEVELOPED RECREATION"
4223.36|1518008|"09"|"DEVELOPED RECREATION"
2148.48|12097645.69|"10"|"DEVELOPED RECREATION"
3843.27|5215818.96|"12"|"DEVELOPED RECREATION"
5595.27|3703834.26|"13"|"DEVELOPED RECREATION"
6205.33|3475755.49|"14"|"DEVELOPED RECREATION"
992.69|55950.88|"15"|"DEVELOPED RECREATION"
324.20|5|"16"|"DEVELOPED RECREATION"
850.53|835571.89|"18"|"DEVELOPED RECREATION"
4587.82|8524606.73|"19"|"DEVELOPED RECREATION"
2355.09|2799613.91|"20"|"DEVELOPED RECREATION"
126.98|100550|"22"|"DEVELOPED RECREATION"
135.98|58002|"23"|"DEVELOPED RECREATION"
2311.45|4776086.13|"24"|"DEVELOPED RECREATION"
58.31|46938|"26"|"DEVELOPED RECREATION"
1.31|0|"30"|"DEVELOPED RECREATION"
409.60|1646790|"31"|"DEVELOPED RECREATION"
2.00|201|"33"|"DEVELOPED RECREATION"
5.64|13000|"34"|"DEVELOPED RECREATION"
1679.05|9370944.94|"35"|"DEVELOPED RECREATION"
3362.82|11939839.88|"39"|"DEVELOPED RECREATION"
4984.63|4286676.1|"40"|"DEVELOPED RECREATION"
239.19|686850|"41"|"DEVELOPED RECREATION"
433.28|428504|"42"|"DEVELOPED RECREATION"
4.67|0|"48"|"DEVELOPED RECREATION"
3.07|0|"49"|"DEVELOPED RECREATION"
38.30|440000|"02"|"DFW"
5.01|876000|"04"|"DFW"
25.28|0|"05"|"DFW"
47128.70|28576723|"07"|"DFW"
3584.71|0|"08"|"DFW"
62389.24|21801846|"09"|"DFW"
7103.83|522700|"10"|"DFW"
115396.92|36757634|"12"|"DFW"
285249.95|36958027|"13"|"DFW"
112059.50|19394663|"14"|"DFW"
5103.15|250|"15"|"DFW"
20739.75|1182000|"16"|"DFW"
40.40|0|"17"|"DFW"
110.00|0|"18"|"DFW"
9445.28|7323136|"19"|"DFW"
9094.78|2304000|"20"|"DFW"
588.29|0|"22"|"DFW"
2783.63|6404800|"24"|"DFW"
2968.49|0|"26"|"DFW"
3330.30|0|"28"|"DFW"
7.70|7600|"31"|"DFW"
2101.13|4224600|"35"|"DFW"
194.53|0|"38"|"DFW"
3619.97|250000|"39"|"DFW"
1226.95|1864000|"40"|"DFW"
2717.23|1345122|"42"|"DFW"
1642.59|3230000|"44"|"DFW"
379.29|0|"45"|"DFW"
2380.01|500000|"49"|"DFW"
2134228.25|0|"01"|"DNR AQUATIC"
2116721.80|0|"02"|"DNR AQUATIC"
2576.61|0|"03"|"DNR AQUATIC"
4246.55|0|"04"|"DNR AQUATIC"
2115368.49|0|"05"|"DNR AQUATIC"
3415.06|0|"06"|"DNR AQUATIC"
30446.84|0|"07"|"DNR AQUATIC"
59816.94|0|"08"|"DNR AQUATIC"
74918.05|0|"09"|"DNR AQUATIC"
2116853.80|42075|"10"|"DNR AQUATIC"
2114556.91|0|"11"|"DNR AQUATIC"
103834.82|0|"12"|"DNR AQUATIC"
87136.90|0|"13"|"DNR AQUATIC"
198400.17|0|"14"|"DNR AQUATIC"
59816.94|0|"15"|"DNR AQUATIC"
79572.98|0|"16"|"DNR AQUATIC"
167421.65|0|"17"|"DNR AQUATIC"
169222.00|0|"18"|"DNR AQUATIC"
2292310.25|509000|"19"|"DNR AQUATIC"
2291683.89|0|"20"|"DNR AQUATIC"
2113803.36|0|"21"|"DNR AQUATIC"
2114621.30|0|"22"|"DNR AQUATIC"
2113858.32|20000|"23"|"DNR AQUATIC"
2120162.80|192921|"24"|"DNR AQUATIC"
446.44|0|"25"|"DNR AQUATIC"
2114313.21|910000|"26"|"DNR AQUATIC"
2113751.40|0|"27"|"DNR AQUATIC"
2115482.09|0|"28"|"DNR AQUATIC"
189.07|0|"29"|"DNR AQUATIC"
2113840.61|0|"30"|"DNR AQUATIC"
2065.34|0|"31"|"DNR AQUATIC"
2113802.63|0|"32"|"DNR AQUATIC"
2114271.21|0|"33"|"DNR AQUATIC"
2113762.37|13000|"34"|"DNR AQUATIC"
2120286.69|860000|"35"|"DNR AQUATIC"
2114571.83|0|"36"|"DNR AQUATIC"
2134326.61|0|"37"|"DNR AQUATIC"
2113866.70|0|"38"|"DNR AQUATIC"
2122838.51|0|"39"|"DNR AQUATIC"
2120952.14|115950|"40"|"DNR AQUATIC"
25073.80|0|"41"|"DNR AQUATIC"
2121488.98|0|"42"|"DNR AQUATIC"
2134705.17|0|"43"|"DNR AQUATIC"
2114876.91|0|"44"|"DNR AQUATIC"
2138862.97|0|"45"|"DNR AQUATIC"
20513.46|0|"46"|"DNR AQUATIC"
1342.97|0|"47"|"DNR AQUATIC"
25087.84|0|"48"|"DNR AQUATIC"
167557.49|0|"49"|"DNR AQUATIC"
244.96|0|"01"|"DNR UPLANDS"
54450.79|1230000|"02"|"DNR UPLANDS"
0.52|0|"03"|"DNR UPLANDS"
8297.40|0|"04"|"DNR UPLANDS"
94669.56|76085500|"05"|"DNR UPLANDS"
3374.35|0|"06"|"DNR UPLANDS"
494716.40|24957248|"07"|"DNR UPLANDS"
6884.70|0|"08"|"DNR UPLANDS"
155724.55|27176692|"09"|"DNR UPLANDS"
57242.79|4250539|"10"|"DNR UPLANDS"
7.30|0|"11"|"DNR UPLANDS"
286124.23|1689000|"12"|"DNR UPLANDS"
390875.12|196732078|"13"|"DNR UPLANDS"
463734.65|120260678|"14"|"DNR UPLANDS"
22738.70|447000|"15"|"DNR UPLANDS"
80645.82|20151587.62|"16"|"DNR UPLANDS"
320.63|1488000|"17"|"DNR UPLANDS"
70846.64|4912000|"18"|"DNR UPLANDS"
279613.93|44441500|"19"|"DNR UPLANDS"
260534.06|54647500|"20"|"DNR UPLANDS"
2.47|0|"21"|"DNR UPLANDS"
778.38|5650000|"22"|"DNR UPLANDS"
1011.17|0|"23"|"DNR UPLANDS"
502592.67|80885650|"24"|"DNR UPLANDS"
7.80|0|"25"|"DNR UPLANDS"
1495.73|0|"26"|"DNR UPLANDS"
0.55|0|"27"|"DNR UPLANDS"
8.60|0|"29"|"DNR UPLANDS"
29.06|0|"30"|"DNR UPLANDS"
47327.76|64695000|"31"|"DNR UPLANDS"
55.38|0|"32"|"DNR UPLANDS"
81.84|8000000|"33"|"DNR UPLANDS"
182072.49|86600350|"35"|"DNR UPLANDS"
0.15|0|"36"|"DNR UPLANDS"
0.27|0|"37"|"DNR UPLANDS"
10.04|12900000|"38"|"DNR UPLANDS"
324882.53|128175900|"39"|"DNR UPLANDS"
27442.15|6276000|"40"|"DNR UPLANDS"
49.05|0|"41"|"DNR UPLANDS"
86180.40|124000|"42"|"DNR UPLANDS"
180.47|0|"44"|"DNR UPLANDS"
166.18|0|"45"|"DNR UPLANDS"
231.00|0|"47"|"DNR UPLANDS"
5.42|0|"48"|"DNR UPLANDS"
12.77|0|"49"|"DNR UPLANDS"
1.90|0|"01"|"FEDERAL"
948629.82|0|"02"|"FEDERAL"
1393921.39|0|"05"|"FEDERAL"
4278.29|0|"06"|"FEDERAL"
3028182.27|0|"07"|"FEDERAL"
308429.02|0|"08"|"FEDERAL"
864305.81|0|"09"|"FEDERAL"
232252.37|0|"10"|"FEDERAL"
5722450.89|0|"12"|"FEDERAL"
2738968.81|0|"13"|"FEDERAL"
2671948.33|0|"14"|"FEDERAL"
355785.68|0|"15"|"FEDERAL"
779587.52|0|"16"|"FEDERAL"
874152.96|0|"18"|"FEDERAL"
19469.46|0|"19"|"FEDERAL"
2706268.93|0|"20"|"FEDERAL"
2147.32|0|"22"|"FEDERAL"
7865.11|0|"23"|"FEDERAL"
1533015.32|0|"24"|"FEDERAL"
7856.15|0|"26"|"FEDERAL"
93687.07|0|"28"|"FEDERAL"
4534.27|0|"29"|"FEDERAL"
2174642.66|0|"31"|"FEDERAL"
1078323.18|0|"35"|"FEDERAL"
23.92|0|"36"|"FEDERAL"
138.70|0|"38"|"FEDERAL"
4936963.76|0|"39"|"FEDERAL"
3082.48|0|"40"|"FEDERAL"
2792112.95|0|"42"|"FEDERAL"
0.17|0|"44"|"FEDERAL"
877.98|0|"49"|"FEDERAL"
2134228.25|0|"01"|"HABITAT AND PASSIVE RECREATION"
2117206.64|2278603.57|"02"|"HABITAT AND PASSIVE RECREATION"
4566.19|72312|"03"|"HABITAT AND PASSIVE RECREATION"
14564.14|760099.06|"04"|"HABITAT AND PASSIVE RECREATION"
2119061.26|15529685.08|"05"|"HABITAT AND PASSIVE RECREATION"
8938.04|75608.25|"06"|"HABITAT AND PASSIVE RECREATION"
82308.73|30744220.47|"07"|"HABITAT AND PASSIVE RECREATION"
63401.65|0|"08"|"HABITAT AND PASSIVE RECREATION"
139989.43|21867701|"09"|"HABITAT AND PASSIVE RECREATION"
2128310.46|45014417.05|"10"|"HABITAT AND PASSIVE RECREATION"
2114556.91|0|"11"|"HABITAT AND PASSIVE RECREATION"
222396.43|46071448.83|"12"|"HABITAT AND PASSIVE RECREATION"
380652.51|40468047.77|"13"|"HABITAT AND PASSIVE RECREATION"
312596.81|20200138.63|"14"|"HABITAT AND PASSIVE RECREATION"
64192.77|69317.74|"15"|"HABITAT AND PASSIVE RECREATION"
100034.38|1182000|"16"|"HABITAT AND PASSIVE RECREATION"
167421.65|0|"17"|"HABITAT AND PASSIVE RECREATION"
169753.62|242500|"18"|"HABITAT AND PASSIVE RECREATION"
2303181.57|16734665.44|"19"|"HABITAT AND PASSIVE RECREATION"
2301011.35|6998810.24|"20"|"HABITAT AND PASSIVE RECREATION"
2113803.36|0|"21"|"HABITAT AND PASSIVE RECREATION"
2115203.25|0|"22"|"HABITAT AND PASSIVE RECREATION"
2113864.32|30350|"23"|"HABITAT AND PASSIVE RECREATION"
2128148.71|26524657.78|"24"|"HABITAT AND PASSIVE RECREATION"
446.44|0|"25"|"HABITAT AND PASSIVE RECREATION"
