"acres"|"acquisitioncost"|"areaname"|"agency"
629.52|12738549.74|"Methow"|"AQ-PARKS"
0.39|0|"Middle Spokane"|"AQ-PARKS"
68.90|304000|"Nisqually"|"AQ-PARKS"
0.73|95000|"Okanogan"|"AQ-PARKS"
1929.10|62458|"Palouse"|"AQ-PARKS"
121.55|173000|"Queets-Quinault"|"AQ-PARKS"
99.91|1164152.9|"Quilcene-Snow"|"AQ-PARKS"
253.69|1229500|"Salmon-Washougal"|"AQ-PARKS"
133.99|120778.45|"San Juan"|"AQ-PARKS"
167.19|1518500|"Skokomish-Dosewallips"|"AQ-PARKS"
452.14|0|"Snohomish"|"AQ-PARKS"
70.94|1450000|"Upper Chehalis"|"AQ-PARKS"
151.20|1072954.47|"Upper Yakima"|"AQ-PARKS"
223.81|5832944.99|"Willapa"|"AQ-PARKS"
12272.93|0|"Alkali-Squilchuck"|"CITY-COUNTY"
113410.52|0|"Cedar-Sammamish"|"CITY-COUNTY"
6317.89|0|"Chambers-Clover"|"CITY-COUNTY"
2232.36|0|"Chelan"|"CITY-COUNTY"
1195.88|0|"Colville"|"CITY-COUNTY"
34489.22|0|"Cowlitz"|"CITY-COUNTY"
7478.19|0|"Deschutes"|"CITY-COUNTY"
50473.57|0|"Duwamish-Green"|"CITY-COUNTY"
4552.43|0|"Elwha-Dungeness"|"CITY-COUNTY"
1066.60|0|"Entiat"|"CITY-COUNTY"
13346.09|0|"Esquatzel Coulee"|"CITY-COUNTY"
3775.59|0|"Foster"|"CITY-COUNTY"
1085.70|0|"Grand Coulee"|"CITY-COUNTY"
2415.46|0|"Grays/Elochoman"|"CITY-COUNTY"
8703.65|0|"Hangman"|"CITY-COUNTY"
4463.95|0|"Island"|"CITY-COUNTY"
5923.63|0|"Kennedy-Goldsborough"|"CITY-COUNTY"
313.23|0|"Kettle"|"CITY-COUNTY"
21252.99|0|"Kitsap"|"CITY-COUNTY"
3766.59|0|"Klickitat"|"CITY-COUNTY"
4576.55|0|"Lewis"|"CITY-COUNTY"
8767.31|0|"Little Spokane"|"CITY-COUNTY"
50486.83|0|"Lower Chehalis"|"CITY-COUNTY"
20692.51|0|"Lower Crab"|"CITY-COUNTY"
387.51|0|"Lower Lake Roosevelt"|"CITY-COUNTY"
11971.45|0|"Lower Skagit / Samish"|"CITY-COUNTY"
3225.93|0|"Lower Snake"|"CITY-COUNTY"
8789.04|0|"Lower Spokane"|"CITY-COUNTY"
18793.18|0|"Lower Yakima"|"CITY-COUNTY"
130.40|0|"Lyre-Hoko"|"CITY-COUNTY"
561.33|0|"Methow"|"CITY-COUNTY"
531.98|0|"Middle Lake Roosevelt"|"CITY-COUNTY"
1323.62|0|"Middle Snake"|"CITY-COUNTY"
12358.68|0|"Middle Spokane"|"CITY-COUNTY"
6506.39|0|"Moses Coulee"|"CITY-COUNTY"
2930.71|0|"Naches"|"CITY-COUNTY"
9.92|0|"Nespelem"|"CITY-COUNTY"
11482.38|0|"Nisqually"|"CITY-COUNTY"
30248.32|0|"Nooksack"|"CITY-COUNTY"
3919.19|0|"Okanogan"|"CITY-COUNTY"
2410.20|0|"Palouse"|"CITY-COUNTY"
6624.07|0|"Pend Oreille"|"CITY-COUNTY"
16299.79|0|"Puyallup-White"|"CITY-COUNTY"
9293.66|0|"Queets-Quinault"|"CITY-COUNTY"
3259.25|0|"Quilcene-Snow"|"CITY-COUNTY"
14237.27|0|"Rock-Glade"|"CITY-COUNTY"
14000.89|0|"Salmon-Washougal"|"CITY-COUNTY"
4650.76|0|"San Juan"|"CITY-COUNTY"
422.85|0|"Sanpoil"|"CITY-COUNTY"
6071.76|0|"Skokomish-Dosewallips"|"CITY-COUNTY"
56016.95|0|"Snohomish"|"CITY-COUNTY"
499.32|0|"Soleduc"|"CITY-COUNTY"
9719.76|0|"Stillaguamish"|"CITY-COUNTY"
7147.29|0|"Upper Chehalis"|"CITY-COUNTY"
2175.54|0|"Upper Crab-Wilson"|"CITY-COUNTY"
250.53|0|"Upper Lake Roosevelt"|"CITY-COUNTY"
10829.26|0|"Upper Skagit"|"CITY-COUNTY"
7243.39|0|"Upper Yakima"|"CITY-COUNTY"
11067.34|0|"Walla Walla"|"CITY-COUNTY"
3908.18|0|"Wenatchee"|"CITY-COUNTY"
7952.38|0|"Willapa"|"CITY-COUNTY"
1431.18|0|"Wind-White Salmon"|"CITY-COUNTY"
321.43|0|"Alkali-Squilchuck"|"CONSERVATION"
3880.58|3147000|"Cedar-Sammamish"|"CONSERVATION"
289.47|220000|"Colville"|"CONSERVATION"
37.41|0|"Cowlitz"|"CONSERVATION"
1029.64|5350000|"Deschutes"|"CONSERVATION"
2022.52|37740000|"Duwamish-Green"|"CONSERVATION"
89.13|247500|"Elwha-Dungeness"|"CONSERVATION"
1962.98|0|"Entiat"|"CONSERVATION"
239.65|0|"Esquatzel Coulee"|"CONSERVATION"
82.36|0|"Grand Coulee"|"CONSERVATION"
815.40|667000|"Grays/Elochoman"|"CONSERVATION"
64.71|1700000|"Island"|"CONSERVATION"
1016.41|4055800|"Kennedy-Goldsborough"|"CONSERVATION"
6913.76|20198050|"Kitsap"|"CONSERVATION"
5208.96|1779200|"Klickitat"|"CONSERVATION"
126.19|0|"Lewis"|"CONSERVATION"
9033.90|5432500|"Lower Chehalis"|"CONSERVATION"
122.22|0|"Lower Crab"|"CONSERVATION"
5171.03|5574750|"Lower Skagit / Samish"|"CONSERVATION"
