acres,areaname,agency
59501.64,31,DNR UPLANDS
77102.85,5,CITY-COUNTY
126619.12,35,DNR UPLANDS
363479.33,40,DNR AQUATIC
2720282.79,12,FEDERAL
12660.74,10,HABITAT AND PASSIVE RECREATION
0,49,LEG-ACQ
16707.24,21,UNKNOWN
408039.9,16,LEG-LANDUSE
1.66,15,AQ-DFW
296.39,15,CONSERVATION
0,11,LEG-ACQ
2818.74,12,DEVELOPED RECREATION
1904.39,29,LEG-LANDUSE
2.07,26,OTHER PUBLIC
428761.69,19,LEG-OWNER
22189.56,15,REVENUE
1288.08,8,REVENUE
210607.81,39,REVENUE
88523.38,12,HABITAT AND PASSIVE RECREATION
164.28,44,CONSERVATION
0,30,LEG-ACQ
1168922.51,42,LEG-LANDUSE
78.2,33,DEVELOPED RECREATION
0,46,LEG-ACQ
51.53,3,HABITAT AND PASSIVE RECREATION
300909.63,10,LEG-OWNER
4243.59,2,CONSERVATION
2102.88,35,HABITAT AND PASSIVE RECREATION
0,47,LEG-ACQ
24456.93,7,LEG-ACQ
1559.87,10,AQ-DNR
118800.62,13,AQ-DNR
2769.9,11,LEG-LANDUSE
45657.29,18,LEG-LANDUSE
324.2,16,DEVELOPED RECREATION
25939.08,4,LEG-OWNER
11111.55,20,HABITAT AND PASSIVE RECREATION
4526.45,2,LEG-ACQ
40.78,47,HABITAT AND PASSIVE RECREATION
27401.39,6,LEG-LANDUSE
1895.79,29,UNKNOWN
914.62,7,DEVELOPED RECREATION
1304.3,44,HABITAT AND PASSIVE RECREATION
408039.9,16,LEG-OWNER
11,49,REVENUE
10.04,38,REVENUE
7.8,25,REVENUE
14630.48,36,UNKNOWN
90986.04,28,UNKNOWN
18779.81,6,UNKNOWN
10.32,18,OTHER PUBLIC
46387.67,34,UNKNOWN
180.47,44,REVENUE
366.55,40,AQ-DNR
14616.06,24,CONSERVATION
68859.77,13,AQ-DFW
46471.92,39,CONSERVATION
202.64,22,AQ-DNR
79.41,17,CONSERVATION
0.16,3,REVENUE
5.42,48,DNR UPLANDS
81.84,33,DNR UPLANDS
126.98,22,PARKS
144.21,17,DNR AQUATIC
230.98,47,DNR UPLANDS
265.37,15,PARKS
379.29,45,DFW
530.71,41,PARKS
828.54,47,DNR AQUATIC
1226.95,40,DFW
1288.04,2,PARKS
1956.89,17,CITY-COUNTY
2641.57,34,CITY-COUNTY
3457.32,45,CITY-COUNTY
3646.95,41,CITY-COUNTY
4869.08,47,CITY-COUNTY
9445.29,19,DFW
9509.82,14,PARKS
17507.56,16,DFW
18409.92,40,DNR UPLANDS
27805.36,35,CITY-COUNTY
31823.79,13,DNR AQUATIC
36083.12,39,CITY-COUNTY
54264.6,26,DNR AQUATIC
63848.93,35,DNR AQUATIC
76785.11,16,DNR UPLANDS
191351,2,FEDERAL
378615.59,14,DNR UPLANDS
934211.86,24,DNR AQUATIC
7968.2,48,LEG-OWNER
9005.59,4,UNKNOWN
62228.85,26,LEG-LANDUSE
1296.36,26,REVENUE
230.63,41,DEVELOPED RECREATION
433.28,42,DEVELOPED RECREATION
8.6,29,REVENUE
1083952.91,42,UNKNOWN
263440.32,8,LEG-OWNER
3505.87,4,DEVELOPED RECREATION
25991.21,22,LEG-OWNER
148.39,42,AQ-DFW
6854.74,30,LEG-LANDUSE
6190.72,16,AQ-DNR
29,2,AQ-DFW
1.57,3,LEG-ACQ
46393.31,34,LEG-LANDUSE
320127.3,9,UNKNOWN
4034.53,1,UNKNOWN
36774.83,31,AQ-DNR
0.19,23,HABITAT AND PASSIVE RECREATION
14630.63,36,LEG-OWNER
373.59,18,CONSERVATION
188134.65,13,LEG-ACQ
76121.21,14,LEG-ACQ
24986.28,5,LEG-ACQ
6854.74,30,LEG-OWNER
518.07,5,AQ-PARKS
168.9,4,CONSERVATION
262151.45,8,UNKNOWN
11709.94,33,LEG-LANDUSE
3149751.12,12,LEG-OWNER
5061.3,20,AQ-DNR
85750.56,23,LEG-LANDUSE
11856.3,20,LEG-ACQ
0,45,LEG-ACQ
1828165.18,7,UNKNOWN
12.66,42,OTHER PUBLIC
32996.92,38,LEG-OWNER
1611026.13,13,LEG-OWNER
2347.85,43,LEG-LANDUSE
9673.58,13,CONSERVATION
458.56,9,CONSERVATION
4.67,48,LEG-ACQ
5,4,AQ-DFW
629.52,12,AQ-PARKS
27401.39,6,LEG-OWNER
1.67,3,DEVELOPED RECREATION
5.6,34,LEG-ACQ
146446.41,9,REVENUE
121.67,10,AQ-DFW
32996.92,38,LEG-LANDUSE
208.59,19,OTHER PUBLIC
38.43,22,OTHER PUBLIC
0.17,44,FEDERAL
0.52,3,DNR UPLANDS
55.38,32,DNR UPLANDS
523.2,49,FEDERAL
1843.3,44,DNR AQUATIC
2370.21,3,CITY-COUNTY
2464.82,35,PARKS
2894.5,6,DNR UPLANDS
3038.54,1,CITY-COUNTY
3241.82,7,PARKS
4310.76,37,DNR AQUATIC
4821.13,49,DNR AQUATIC
4984.42,12,PARKS
5620.28,33,CITY-COUNTY
5721.79,19,PARKS
6738.54,10,PARKS
7935.54,10,FEDERAL
12810.13,20,DNR AQUATIC
21222.64,28,DNR AQUATIC
22487.18,15,DNR UPLANDS
26465.84,18,DNR UPLANDS
29493.05,16,CITY-COUNTY
34667.96,13,CITY-COUNTY
40438.8,10,DNR UPLANDS
51177.29,12,DNR AQUATIC
78328.65,14,DFW
244613.64,8,FEDERAL
1399769.09,14,FEDERAL
5969.38,47,LEG-LANDUSE
230.98,47,REVENUE
3950.6,2,AQ-DNR
16709.71,21,LEG-LANDUSE
5819.46,46,UNKNOWN
303.5,35,AQ-PARKS
581548.29,20,UNKNOWN
79.38,17,LEG-ACQ
10.12,31,OTHER PUBLIC
5969.38,47,LEG-OWNER
7579.44,44,LEG-LANDUSE
0.95,31,AQ-DFW
1417026.28,39,UNKNOWN
0.2,37,REVENUE
7968.2,48,LEG-LANDUSE
145.43,2,OTHER PUBLIC
0.36,3,OTHER PUBLIC
6109.11,46,LEG-OWNER
5371.2,5,HABITAT AND PASSIVE RECREATION
1465.2,12,OTHER PUBLIC
5240.96,45,UNKNOWN
313686.81,16,UNKNOWN
4.67,48,DEVELOPED RECREATION
9487.74,35,AQ-DNR
183034.87,20,REVENUE
1439217.12,14,UNKNOWN
0.73,7,AQ-PARKS
171.09,42,AQ-DNR
7473.38,48,UNKNOWN
23981.58,2,REVENUE
26081.93,18,REVENUE
31997.92,39,LEG-ACQ
