"acres"|"acquisitioncost"|"wria_nm"|"agency"
611894.3|0|"Chelan"|"FEDERAL"
174178.14|0|"Colville"|"FEDERAL"
753998.329999995|0|"Cowlitz"|"FEDERAL"
3258.21|0|"Deschutes"|"FEDERAL"
51830.04|0|"Duwamish-Green"|"FEDERAL"
370361.64|0|"Elwha-Dungeness"|"FEDERAL"
298556.79|0|"Entiat"|"FEDERAL"
149415.04|0|"Esquatzel Coulee"|"FEDERAL"
181022.14|0|"Foster"|"FEDERAL"
58907.35|0|"Grand Coulee"|"FEDERAL"
2873.57|0|"Grays/Elochoman"|"FEDERAL"
4640.8|0|"Hangman"|"FEDERAL"
80.87|0|"Island"|"FEDERAL"
1397.89|0|"Kennedy-Goldsborough"|"FEDERAL"
397467.979999999|0|"Kettle"|"FEDERAL"
8527.15|0|"Kitsap"|"FEDERAL"
528612.49|0|"Klickitat"|"FEDERAL"
418421.579999999|0|"Lewis"|"FEDERAL"
282.15|0|"Little Spokane"|"FEDERAL"
149067.01|0|"Lower Chehalis"|"FEDERAL"
90570.7900000001|0|"Lower Crab"|"FEDERAL"
145291.48|0|"Lower Lake Roosevelt"|"FEDERAL"
22033.93|0|"Lower Skagit / Samish"|"FEDERAL"
25475.98|0|"Lower Snake"|"FEDERAL"
151507.64|0|"Lower Spokane"|"FEDERAL"
1151102.89|0|"Lower Yakima"|"FEDERAL"
79407.16|0|"Lyre-Hoko"|"FEDERAL"
1237154.53|0|"Methow"|"FEDERAL"
541000.97|0|"Middle Lake Roosevelt"|"FEDERAL"
293318.89|0|"Middle Snake"|"FEDERAL"
56963.95|0|"Moses Coulee"|"FEDERAL"
555623.249999999|0|"Naches"|"FEDERAL"
174723.36|0|"Nespelem"|"FEDERAL"
109482.79|0|"Nisqually"|"FEDERAL"
307675.32|0|"Nooksack"|"FEDERAL"
584037.860000001|0|"Okanogan"|"FEDERAL"
44954.93|0|"Palouse"|"FEDERAL"
546636.24|0|"Pend Oreille"|"FEDERAL"
312366.79|0|"Puyallup-White"|"FEDERAL"
560596.260000002|0|"Queets-Quinault"|"FEDERAL"
85014.6200000001|0|"Quilcene-Snow"|"FEDERAL"
43572.08|0|"Rock-Glade"|"FEDERAL"
31425.12|0|"Salmon-Washougal"|"FEDERAL"
3045.25|0|"San Juan"|"FEDERAL"
586776.559999999|0|"Sanpoil"|"FEDERAL"
312805.26|0|"Skokomish-Dosewallips"|"FEDERAL"
545788.06|0|"Snohomish"|"FEDERAL"
414717.86|0|"Soleduc"|"FEDERAL"
201024.88|0|"Stillaguamish"|"FEDERAL"
2652.9|0|"Upper Chehalis"|"FEDERAL"
70629.23|0|"Upper Crab-Wilson"|"FEDERAL"
119376.38|0|"Upper Lake Roosevelt"|"FEDERAL"
1480278.56|0|"Upper Skagit"|"FEDERAL"
645616.890000002|0|"Upper Yakima"|"FEDERAL"
70291.74|0|"Walla Walla"|"FEDERAL"
769496.350000001|0|"Wenatchee"|"FEDERAL"
9318.24|0|"Willapa"|"FEDERAL"
365156.44|0|"Wind-White Salmon"|"FEDERAL"
20540.96|616556.98|"Alkali-Squilchuck"|"PARKS"
10056.33|48472536.6|"Cedar-Sammamish"|"PARKS"
1806.46|3134104.28|"Chelan"|"PARKS"
470.97|298500|"Colville"|"PARKS"
4840.26|12501887.76|"Cowlitz"|"PARKS"
253.96|201100|"Deschutes"|"PARKS"
7588.17000000001|26631790.76|"Duwamish-Green"|"PARKS"
12128.02|90364|"Esquatzel Coulee"|"PARKS"
831.16|27018.82|"Foster"|"PARKS"
32845.89|31214082.16|"Grand Coulee"|"PARKS"
19519.3|6480|"Hangman"|"PARKS"
19773.13|136872489.94|"Island"|"PARKS"
4107.28|44128846.76|"Kennedy-Goldsborough"|"PARKS"
91.8|22002|"Kettle"|"PARKS"
6582.04|38026417.16|"Kitsap"|"PARKS"
17085.42|2660671.26|"Klickitat"|"PARKS"
585.94|865251.46|"Lewis"|"PARKS"
46650.61|4109813.9|"Little Spokane"|"PARKS"
4381.5|4903359.44|"Lower Chehalis"|"PARKS"
17249.78|0|"Lower Crab"|"PARKS"
11782.21|78818775.5100001|"Lower Skagit / Samish"|"PARKS"
8706.78|17286|"Lower Snake"|"PARKS"
