acres,areaname,agency
156560.64,Colville,FEDERAL
190902.4,Island,DNR AQUATIC
219828.83,Lower Yakima,FEDERAL
271351.92,Nooksack,FEDERAL
337711.2,Wind-White Salmon,FEDERAL
375641.19,Kettle,FEDERAL
3980.24,Lower Chehalis,HABITAT AND PASSIVE RECREATION
613190.07,Naches,WRIA-LANDUSE
105575.25,Lower Skagit-Samish,UNKNOWN
50.72,Salmon-Washougal,OTHER PUBLIC
5,Middle Spokane,AQ-DFW
161341.21,Esquatzel Coulee,UNKNOWN
208796.47,Island,WRIA-OWNER
6833.78,Palouse,WRIA-ACQ
1368.02,Salmon-Washougal,WRIA-ACQ
3685.64,Lower Chehalis,WRIA-ACQ
20772.92,Okanogan,WRIA-ACQ
512.09,Moses Coulee,WRIA-ACQ
131.51,Colville,OTHER PUBLIC
734.85,Lower Chehalis,AQ-DFW
335454.06,Skokomish-Dosewallips,WRIA-LANDUSE
959.33,Klickitat,OTHER PUBLIC
747169.16,Snohomish,WRIA-OWNER
61074.76,Snohomish,CONSERVATION
36998.28,Kitsap,REVENUE
1467.93,Grand Coulee,DEVELOPED RECREATION
2810.05,Nisqually,AQ-DNR
197.28,Chelan,OTHER PUBLIC
269921.98,Kitsap,WRIA-OWNER
5.39,Middle Spokane,WRIA-ACQ
56170.89,Lyre-Hoko,REVENUE
634,Klickitat,AQ-DFW
30562.49,Elwha-Dungeness,REVENUE
3023.68,Skokomish-Dosewallips,WRIA-ACQ
1725.76,Upper Skagit,HABITAT AND PASSIVE RECREATION
573.82,Stillaguamish,HABITAT AND PASSIVE RECREATION
1020.81,San Juan,REVENUE
364.56,Chelan,DEVELOPED RECREATION
1218.38,Upper Crab-Wilson,AQ-DNR
23806.45,Grays-Elochoman,UNKNOWN
74.01,Wenatchee,AQ-DFW
118630.63,Upper Yakima,AQ-DNR
96.69,Palouse,CONSERVATION
2335.93,Lower Skagit-Samish,AQ-DNR
2009.01,Lyre-Hoko,AQ-DNR
240026,Lower Yakima,UNKNOWN
1056.7,Lower Crab,DEVELOPED RECREATION
3520.7,Upper Skagit,WRIA-ACQ
51296.56,Naches,REVENUE
5772.49,Palouse,HABITAT AND PASSIVE RECREATION
225.4,Lower Spokane,CONSERVATION
294545.75,Middle Snake,UNKNOWN
236229.89,Colville,WRIA-OWNER
124638.44,Moses Coulee,WRIA-LANDUSE
417294.09,Wind-White Salmon,WRIA-OWNER
728564.18,Cowlitz,UNKNOWN
1066.34,Methow,DEVELOPED RECREATION
2935.58,Lower Chehalis,AQ-DNR
10052.54,Lewis,WRIA-ACQ
121.38,Soleduc,DEVELOPED RECREATION
1041.23,Kennedy-Goldsborough,CONSERVATION
