"acres"|"acquisitioncost"|"areaname"|"agency"
326447.28|23424148|"Okanogan"|"AQ-DNR-UPLANDS"
119587.48|39944000|"Pacific"|"AQ-DNR-UPLANDS"
47696.3|0|"Pend Oreille"|"AQ-DNR-UPLANDS"
72577.07|13312935.15|"Pierce"|"AQ-DNR-UPLANDS"
1193.36|0|"San Juan"|"AQ-DNR-UPLANDS"
175085.99|62120389|"Skagit"|"AQ-DNR-UPLANDS"
166102.15|22830277.28|"Skamania"|"AQ-DNR-UPLANDS"
241705.25|77421439|"Snohomish"|"AQ-DNR-UPLANDS"
27052.3|225000|"Spokane"|"AQ-DNR-UPLANDS"
164459.83|6175270|"Stevens"|"AQ-DNR-UPLANDS"
115809.06|44455500|"Thurston"|"AQ-DNR-UPLANDS"
61490.24|667000|"Wahkiakum"|"AQ-DNR-UPLANDS"
19247.27|0|"Walla Walla"|"AQ-DNR-UPLANDS"
102248.51|124000|"Whatcom"|"AQ-DNR-UPLANDS"
41261.04|8926170|"Whitman"|"AQ-DNR-UPLANDS"
265813.09|92993678|"Yakima"|"AQ-DNR-UPLANDS"
1918.21|0|"Adams"|"AQ-PARKS"
88|602500|"Clallam"|"AQ-PARKS"
246.65|97500|"Clark"|"AQ-PARKS"
124.62|209399.58|"Grays Harbor"|"AQ-PARKS"
244.43|7422479|"Island"|"AQ-PARKS"
362.8|3251805.8|"Jefferson"|"AQ-PARKS"
467.63|154923.2|"King"|"AQ-PARKS"
160.77|1447954.47|"Kittitas"|"AQ-PARKS"
124.68|520000|"Klickitat"|"AQ-PARKS"
2.25|334600|"Lewis"|"AQ-PARKS"
333.94|9556500|"Mason"|"AQ-PARKS"
1301.15|22826598.76|"Okanogan"|"AQ-PARKS"
324.66|8869505.37|"Pacific"|"AQ-PARKS"
72.11|305801.54|"Pierce"|"AQ-PARKS"
133.99|120778.45|"San Juan"|"AQ-PARKS"
96.94|14314601.24|"Skagit"|"AQ-PARKS"
7.51|1132000|"Skamania"|"AQ-PARKS"
1919.2|0|"Spokane"|"AQ-PARKS"
141.88|2900000|"Thurston"|"AQ-PARKS"
1938.16|124916|"Whitman"|"AQ-PARKS"
0.44|1095.08|"Yakima"|"AQ-PARKS"
1918.21|0|"Adams"|"AQ-STATE"
88|602500|"Clallam"|"AQ-STATE"
246.65|97500|"Clark"|"AQ-STATE"
124.62|209399.58|"Grays Harbor"|"AQ-STATE"
244.43|7422479|"Island"|"AQ-STATE"
362.8|3251805.8|"Jefferson"|"AQ-STATE"
467.63|154923.2|"King"|"AQ-STATE"
160.77|1447954.47|"Kittitas"|"AQ-STATE"
124.68|520000|"Klickitat"|"AQ-STATE"
2.25|334600|"Lewis"|"AQ-STATE"
333.94|9556500|"Mason"|"AQ-STATE"
1301.15|22826598.76|"Okanogan"|"AQ-STATE"
324.66|8869505.37|"Pacific"|"AQ-STATE"
72.11|305801.54|"Pierce"|"AQ-STATE"
133.99|120778.45|"San Juan"|"AQ-STATE"
96.94|14314601.24|"Skagit"|"AQ-STATE"
7.51|1132000|"Skamania"|"AQ-STATE"
1919.2|0|"Spokane"|"AQ-STATE"
141.88|2900000|"Thurston"|"AQ-STATE"
1938.16|124916|"Whitman"|"AQ-STATE"
0.44|1095.08|"Yakima"|"AQ-STATE"
315.6|161600|"Adams"|"CONSERVATION"
4208.22|1464000|"Chelan"|"CONSERVATION"
653.09|444900|"Clallam"|"CONSERVATION"
453|4912000|"Clark"|"CONSERVATION"
163.6|0|"Cowlitz"|"CONSERVATION"
792.5|10000|"Douglas"|"CONSERVATION"
239.65|0|"Franklin"|"CONSERVATION"
82.36|0|"Grant"|"CONSERVATION"
9033.9|5432500|"Grays Harbor"|"CONSERVATION"
144.85|5718742|"Island"|"CONSERVATION"
12996.13|31812042.53|"Jefferson"|"CONSERVATION"
47822.49|91935903.25|"King"|"CONSERVATION"
8527.13|23501650|"Kitsap"|"CONSERVATION"
10298.2|17574312.77|"Kittitas"|"CONSERVATION"
10055.57|18357000|"Klickitat"|"CONSERVATION"
801.5|7075103.53|"Lewis"|"CONSERVATION"
225.4|0|"Lincoln"|"CONSERVATION"
6599.38|12832400|"Mason"|"CONSERVATION"
41781.51|27857900|"Okanogan"|"CONSERVATION"
7425.1|1939000|"Pacific"|"CONSERVATION"
20485.67|13212935.15|"Pierce"|"CONSERVATION"
160.03|0|"San Juan"|"CONSERVATION"
9950.5|11428239|"Skagit"|"CONSERVATION"
14434.06|22830277.28|"Skamania"|"CONSERVATION"
42064.99|28965000|"Snohomish"|"CONSERVATION"
168.9|0|"Spokane"|"CONSERVATION"
289.47|220000|"Stevens"|"CONSERVATION"
2190.6|10503500|"Thurston"|"CONSERVATION"
225.9|667000|"Wahkiakum"|"CONSERVATION"
1738.15|824000|"Whatcom"|"CONSERVATION"
1835.96|1733200|"Yakima"|"CONSERVATION"
861.11|33270|"Adams"|"DEVELOPED RECREATION"
1093.89|1481396|"Asotin"|"DEVELOPED RECREATION"
49.91|0|"Benton"|"DEVELOPED RECREATION"
1102.3|2265344.12|"Chelan"|"DEVELOPED RECREATION"
903.24|3486354.6|"Clallam"|"DEVELOPED RECREATION"
894.66|835571.89|"Clark"|"DEVELOPED RECREATION"
36.43|2|"Columbia"|"DEVELOPED RECREATION"
643.68|90000|"Cowlitz"|"DEVELOPED RECREATION"
2084.06|124010|"Douglas"|"DEVELOPED RECREATION"
45.9|11000|"Ferry"|"DEVELOPED RECREATION"
