"acres"|"acquisitioncost"|"areaname"|"agency"
28287.62|0|"19"|"CITY-COUNTY"
12630.37|0|"2"|"CITY-COUNTY"
45135.54|0|"20"|"CITY-COUNTY"
3954.49|0|"21"|"CITY-COUNTY"
6287.76|0|"22"|"CITY-COUNTY"
3013.97|0|"23"|"CITY-COUNTY"
49673.69|0|"24"|"CITY-COUNTY"
2850.80|0|"25"|"CITY-COUNTY"
4763.60|0|"26"|"CITY-COUNTY"
4368.37|0|"27"|"CITY-COUNTY"
2672.69|0|"28"|"CITY-COUNTY"
1763.89|0|"29"|"CITY-COUNTY"
2659.19|0|"3"|"CITY-COUNTY"
1878.77|0|"30"|"CITY-COUNTY"
59540.72|0|"31"|"CITY-COUNTY"
2038.30|0|"32"|"CITY-COUNTY"
5755.91|0|"33"|"CITY-COUNTY"
2688.61|0|"34"|"CITY-COUNTY"
28047.53|0|"35"|"CITY-COUNTY"
1963.02|0|"36"|"CITY-COUNTY"
1619.57|0|"37"|"CITY-COUNTY"
9145.73|0|"38"|"CITY-COUNTY"
38271.50|0|"39"|"CITY-COUNTY"
8863.31|0|"4"|"CITY-COUNTY"
15722.27|0|"40"|"CITY-COUNTY"
3974.54|0|"41"|"CITY-COUNTY"
20096.64|0|"42"|"CITY-COUNTY"
871.09|0|"43"|"CITY-COUNTY"
4654.00|0|"44"|"CITY-COUNTY"
3651.94|0|"45"|"CITY-COUNTY"
1203.73|0|"46"|"CITY-COUNTY"
5235.36|0|"47"|"CITY-COUNTY"
2173.28|0|"48"|"CITY-COUNTY"
5631.81|0|"49"|"CITY-COUNTY"
84731.45|0|"5"|"CITY-COUNTY"
14363.87|0|"6"|"CITY-COUNTY"
20086.11|0|"7"|"CITY-COUNTY"
8129.62|0|"8"|"CITY-COUNTY"
13460.45|0|"9"|"CITY-COUNTY"
64.71|1700000|"10"|"CONSERVATION"
5111.13|1689000|"12"|"CONSERVATION"
225.40|0|"13"|"CONSERVATION"
14345.94|26332700|"14"|"CONSERVATION"
296.39|447000|"15"|"CONSERVATION"
189.26|1488000|"17"|"CONSERVATION"
453.00|4912000|"18"|"CONSERVATION"
15309.27|6945500|"19"|"CONSERVATION"
386.26|1130000|"2"|"CONSERVATION"
749.64|5949000|"20"|"CONSERVATION"
722.88|5350000|"22"|"CONSERVATION"
7599.56|19600500|"24"|"CONSERVATION"
2968.49|0|"26"|"CONSERVATION"
2968.49|0|"28"|"CONSERVATION"
2022.52|37740000|"31"|"CONSERVATION"
6641.70|31632350|"35"|"CONSERVATION"
48280.09|61971000|"39"|"CONSERVATION"
168.90|0|"4"|"CONSERVATION"
5469.06|5574750|"40"|"CONSERVATION"
1524.28|24000|"42"|"CONSERVATION"
164.28|0|"44"|"CONSERVATION"
27776.09|47145500|"5"|"CONSERVATION"
27963.45|220000|"7"|"CONSERVATION"
361.87|0|"9"|"CONSERVATION"
2148.48|12097645.69|"10"|"DEVELOPED RECREATION"
3843.27|5215818.96|"12"|"DEVELOPED RECREATION"
5595.27|3703834.26|"13"|"DEVELOPED RECREATION"
6205.33|3475755.49|"14"|"DEVELOPED RECREATION"
992.69|55950.88|"15"|"DEVELOPED RECREATION"
324.20|5|"16"|"DEVELOPED RECREATION"
850.53|835571.89|"18"|"DEVELOPED RECREATION"
4588.64|8524631.73|"19"|"DEVELOPED RECREATION"
1130.31|4430302|"2"|"DEVELOPED RECREATION"
2355.09|2799613.91|"20"|"DEVELOPED RECREATION"
126.98|100550|"22"|"DEVELOPED RECREATION"
135.98|58002|"23"|"DEVELOPED RECREATION"
2311.45|4776086.13|"24"|"DEVELOPED RECREATION"
58.31|46938|"26"|"DEVELOPED RECREATION"
169.01|34.75|"3"|"DEVELOPED RECREATION"
1.31|0|"30"|"DEVELOPED RECREATION"
409.60|1646790|"31"|"DEVELOPED RECREATION"
2.00|201|"33"|"DEVELOPED RECREATION"
5.64|13000|"34"|"DEVELOPED RECREATION"
1679.05|9370944.94|"35"|"DEVELOPED RECREATION"
3362.82|11939839.88|"39"|"DEVELOPED RECREATION"
3636.15|81885.5|"4"|"DEVELOPED RECREATION"
4984.63|4286676.1|"40"|"DEVELOPED RECREATION"
239.19|686850|"41"|"DEVELOPED RECREATION"
433.28|428504|"42"|"DEVELOPED RECREATION"
4.67|0|"48"|"DEVELOPED RECREATION"
3.07|0|"49"|"DEVELOPED RECREATION"
2979.26|13967548.15|"5"|"DEVELOPED RECREATION"
1396.77|99460.75|"6"|"DEVELOPED RECREATION"
1338.69|518135.41|"7"|"DEVELOPED RECREATION"
4223.36|1518008|"9"|"DEVELOPED RECREATION"
7103.83|522700|"10"|"DFW"
115396.92|36757634|"12"|"DFW"
285249.95|36958027|"13"|"DFW"
112059.50|19394663|"14"|"DFW"
5103.15|250|"15"|"DFW"
20739.75|1182000|"16"|"DFW"
40.40|0|"17"|"DFW"
110.00|0|"18"|"DFW"
9445.28|7323136|"19"|"DFW"
38.30|440000|"2"|"DFW"
9094.78|2304000|"20"|"DFW"
588.29|0|"22"|"DFW"
2783.63|6404800|"24"|"DFW"
2968.49|0|"26"|"DFW"
3330.30|0|"28"|"DFW"
36.70|447600|"31"|"DFW"
2101.13|4224600|"35"|"DFW"
194.53|0|"38"|"DFW"
3619.97|250000|"39"|"DFW"
5.01|876000|"4"|"DFW"
1226.95|1864000|"40"|"DFW"
2717.23|1345122|"42"|"DFW"
1662.82|3230000|"44"|"DFW"
379.29|0|"45"|"DFW"
2380.01|500000|"49"|"DFW"
25.28|0|"5"|"DFW"
47128.70|28576723|"7"|"DFW"
3584.71|0|"8"|"DFW"
62429.93|21801846|"9"|"DFW"
2134228.25|0|"1"|"DNR AQUATIC"
2116853.80|42075|"10"|"DNR AQUATIC"
2114556.91|0|"11"|"DNR AQUATIC"
103834.82|0|"12"|"DNR AQUATIC"
87136.90|0|"13"|"DNR AQUATIC"
198400.17|0|"14"|"DNR AQUATIC"
59816.94|0|"15"|"DNR AQUATIC"
79572.98|0|"16"|"DNR AQUATIC"
167421.65|0|"17"|"DNR AQUATIC"
169222.00|0|"18"|"DNR AQUATIC"
2292310.25|509000|"19"|"DNR AQUATIC"
2116721.80|0|"2"|"DNR AQUATIC"
2291683.89|0|"20"|"DNR AQUATIC"
2113803.36|0|"21"|"DNR AQUATIC"
2114621.30|0|"22"|"DNR AQUATIC"
2113858.32|20000|"23"|"DNR AQUATIC"
2120162.80|192921|"24"|"DNR AQUATIC"
446.44|0|"25"|"DNR AQUATIC"
2114313.21|910000|"26"|"DNR AQUATIC"
2113751.40|0|"27"|"DNR AQUATIC"
2115482.09|0|"28"|"DNR AQUATIC"
189.07|0|"29"|"DNR AQUATIC"
2576.61|0|"3"|"DNR AQUATIC"
2113840.61|0|"30"|"DNR AQUATIC"
2065.34|0|"31"|"DNR AQUATIC"
2113802.63|0|"32"|"DNR AQUATIC"
2114271.21|0|"33"|"DNR AQUATIC"
2113762.37|13000|"34"|"DNR AQUATIC"
2120286.69|860000|"35"|"DNR AQUATIC"
2114571.83|0|"36"|"DNR AQUATIC"
2134326.61|0|"37"|"DNR AQUATIC"
2113866.70|0|"38"|"DNR AQUATIC"
2122838.51|0|"39"|"DNR AQUATIC"
4246.55|0|"4"|"DNR AQUATIC"
2120952.14|115950|"40"|"DNR AQUATIC"
25073.80|0|"41"|"DNR AQUATIC"
2121488.98|0|"42"|"DNR AQUATIC"
2134705.21|0|"43"|"DNR AQUATIC"
2114876.91|0|"44"|"DNR AQUATIC"
2138862.97|0|"45"|"DNR AQUATIC"
20513.46|0|"46"|"DNR AQUATIC"
1342.97|0|"47"|"DNR AQUATIC"
25087.84|0|"48"|"DNR AQUATIC"
167557.49|0|"49"|"DNR AQUATIC"
2115368.49|0|"5"|"DNR AQUATIC"
3415.06|0|"6"|"DNR AQUATIC"
30457.17|0|"7"|"DNR AQUATIC"
59816.94|0|"8"|"DNR AQUATIC"
74918.05|0|"9"|"DNR AQUATIC"
244.96|0|"1"|"DNR UPLANDS"
57242.79|4250539|"10"|"DNR UPLANDS"
7.30|0|"11"|"DNR UPLANDS"
286124.23|1689000|"12"|"DNR UPLANDS"
390875.12|196732078|"13"|"DNR UPLANDS"
463734.65|120260678|"14"|"DNR UPLANDS"
22738.70|447000|"15"|"DNR UPLANDS"
79532.08|20151587.62|"16"|"DNR UPLANDS"
320.63|1488000|"17"|"DNR UPLANDS"
70846.64|4912000|"18"|"DNR UPLANDS"
279613.93|44441500|"19"|"DNR UPLANDS"
54450.79|1230000|"2"|"DNR UPLANDS"
260534.06|54647500|"20"|"DNR UPLANDS"
2.47|0|"21"|"DNR UPLANDS"
778.38|5650000|"22"|"DNR UPLANDS"
1011.17|0|"23"|"DNR UPLANDS"
502592.67|80885650|"24"|"DNR UPLANDS"
7.80|0|"25"|"DNR UPLANDS"
1495.73|0|"26"|"DNR UPLANDS"
0.55|0|"27"|"DNR UPLANDS"
8.60|0|"29"|"DNR UPLANDS"
0.52|0|"3"|"DNR UPLANDS"
29.06|0|"30"|"DNR UPLANDS"
47327.76|64695000|"31"|"DNR UPLANDS"
55.38|0|"32"|"DNR UPLANDS"
81.84|8000000|"33"|"DNR UPLANDS"
182072.49|86600350|"35"|"DNR UPLANDS"
0.15|0|"36"|"DNR UPLANDS"
0.27|0|"37"|"DNR UPLANDS"
10.04|12900000|"38"|"DNR UPLANDS"
327079.96|134969900|"39"|"DNR UPLANDS"
8297.40|0|"4"|"DNR UPLANDS"
27442.15|6276000|"40"|"DNR UPLANDS"
49.05|0|"41"|"DNR UPLANDS"
85051.09|124000|"42"|"DNR UPLANDS"
180.47|0|"44"|"DNR UPLANDS"
166.18|0|"45"|"DNR UPLANDS"
231.00|0|"47"|"DNR UPLANDS"
5.42|0|"48"|"DNR UPLANDS"
12.77|0|"49"|"DNR UPLANDS"
94669.56|76085500|"5"|"DNR UPLANDS"
3374.35|0|"6"|"DNR UPLANDS"
495146.42|24957248|"7"|"DNR UPLANDS"
6884.70|0|"8"|"DNR UPLANDS"
155496.66|27176692|"9"|"DNR UPLANDS"
1.90|0|"1"|"FEDERAL"
232252.37|0|"10"|"FEDERAL"
5722450.89|0|"12"|"FEDERAL"
2740987.16|0|"13"|"FEDERAL"
2671948.33|0|"14"|"FEDERAL"
355582.75|0|"15"|"FEDERAL"
778945.19|0|"16"|"FEDERAL"
874152.96|0|"18"|"FEDERAL"
19469.46|0|"19"|"FEDERAL"
948615.21|0|"2"|"FEDERAL"
2706914.20|0|"20"|"FEDERAL"
2147.32|0|"22"|"FEDERAL"
7865.11|0|"23"|"FEDERAL"
1533015.32|0|"24"|"FEDERAL"
7856.15|0|"26"|"FEDERAL"
93687.07|0|"28"|"FEDERAL"
4534.27|0|"29"|"FEDERAL"
2174642.66|0|"31"|"FEDERAL"
1078323.18|0|"35"|"FEDERAL"
23.92|0|"36"|"FEDERAL"
138.70|0|"38"|"FEDERAL"
4936963.76|0|"39"|"FEDERAL"
3082.48|0|"40"|"FEDERAL"
2794024.49|0|"42"|"FEDERAL"
0.17|0|"44"|"FEDERAL"
877.98|0|"49"|"FEDERAL"
1403251.35|0|"5"|"FEDERAL"
4278.29|0|"6"|"FEDERAL"
3029884.11|0|"7"|"FEDERAL"
308429.02|0|"8"|"FEDERAL"
871596.34|0|"9"|"FEDERAL"
2134228.25|0|"1"|"HABITAT AND PASSIVE RECREATION"
2128310.46|45014417.05|"10"|"HABITAT AND PASSIVE RECREATION"
2114556.91|0|"11"|"HABITAT AND PASSIVE RECREATION"
222396.43|46071448.83|"12"|"HABITAT AND PASSIVE RECREATION"
380652.51|40468047.77|"13"|"HABITAT AND PASSIVE RECREATION"
312596.81|20200138.63|"14"|"HABITAT AND PASSIVE RECREATION"
64192.77|69317.74|"15"|"HABITAT AND PASSIVE RECREATION"
100034.38|1182000|"16"|"HABITAT AND PASSIVE RECREATION"
167421.65|0|"17"|"HABITAT AND PASSIVE RECREATION"
169753.62|242500|"18"|"HABITAT AND PASSIVE RECREATION"
2303181.57|16734665.44|"19"|"HABITAT AND PASSIVE RECREATION"
2117206.64|2278603.57|"2"|"HABITAT AND PASSIVE RECREATION"
2301011.35|6998810.24|"20"|"HABITAT AND PASSIVE RECREATION"
2113803.36|0|"21"|"HABITAT AND PASSIVE RECREATION"
2115203.25|0|"22"|"HABITAT AND PASSIVE RECREATION"
2113864.32|30350|"23"|"HABITAT AND PASSIVE RECREATION"
2128148.71|26524657.78|"24"|"HABITAT AND PASSIVE RECREATION"
446.44|0|"25"|"HABITAT AND PASSIVE RECREATION"
2115791.62|10654442.16|"26"|"HABITAT AND PASSIVE RECREATION"
2114197.87|610020|"27"|"HABITAT AND PASSIVE RECREATION"
2115749.63|0|"28"|"HABITAT AND PASSIVE RECREATION"
189.07|0|"29"|"HABITAT AND PASSIVE RECREATION"
4566.19|72312|"3"|"HABITAT AND PASSIVE RECREATION"
2114131.09|310|"30"|"HABITAT AND PASSIVE RECREATION"
2844.93|2420615.81|"31"|"HABITAT AND PASSIVE RECREATION"
2113802.63|0|"32"|"HABITAT AND PASSIVE RECREATION"
2114362.18|46571|"33"|"HABITAT AND PASSIVE RECREATION"
2113762.37|13000|"34"|"HABITAT AND PASSIVE RECREATION"
2122149.06|12504951.18|"35"|"HABITAT AND PASSIVE RECREATION"
2114571.83|0|"36"|"HABITAT AND PASSIVE RECREATION"
2134326.61|0|"37"|"HABITAT AND PASSIVE RECREATION"
2114061.23|0|"38"|"HABITAT AND PASSIVE RECREATION"
2127182.01|1756987.2|"39"|"HABITAT AND PASSIVE RECREATION"
14564.14|760099.06|"4"|"HABITAT AND PASSIVE RECREATION"
2126434.35|17033621.51|"40"|"HABITAT AND PASSIVE RECREATION"
25320.08|2714386|"41"|"HABITAT AND PASSIVE RECREATION"
2123523.79|1332122|"42"|"HABITAT AND PASSIVE RECREATION"
2134705.21|0|"43"|"HABITAT AND PASSIVE RECREATION"
2116375.45|3230000|"44"|"HABITAT AND PASSIVE RECREATION"
2139242.26|0|"45"|"HABITAT AND PASSIVE RECREATION"
20513.46|0|"46"|"HABITAT AND PASSIVE RECREATION"
1384.19|275000|"47"|"HABITAT AND PASSIVE RECREATION"
25572.57|5203928.15|"48"|"HABITAT AND PASSIVE RECREATION"
169937.50|500000|"49"|"HABITAT AND PASSIVE RECREATION"
2119061.26|15529685.08|"5"|"HABITAT AND PASSIVE RECREATION"
8938.04|75608.25|"6"|"HABITAT AND PASSIVE RECREATION"
82319.06|30744220.47|"7"|"HABITAT AND PASSIVE RECREATION"
63401.65|0|"8"|"HABITAT AND PASSIVE RECREATION"
140030.12|21867701|"9"|"HABITAT AND PASSIVE RECREATION"
325.86|0|"1"|"OTHER PUBLIC"
419.06|0|"10"|"OTHER PUBLIC"
1611.63|717939|"12"|"OTHER PUBLIC"
2808.47|0|"13"|"OTHER PUBLIC"
1024.13|0|"14"|"OTHER PUBLIC"
1.23|0|"15"|"OTHER PUBLIC"
139.28|0|"16"|"OTHER PUBLIC"
40.40|0|"17"|"OTHER PUBLIC"
10.32|0|"18"|"OTHER PUBLIC"
208.59|0|"19"|"OTHER PUBLIC"
145.42|440000|"2"|"OTHER PUBLIC"
955.07|0|"20"|"OTHER PUBLIC"
38.52|0|"22"|"OTHER PUBLIC"
484.95|2801000|"24"|"OTHER PUBLIC"
2.07|0|"26"|"OTHER PUBLIC"
94.27|0|"28"|"OTHER PUBLIC"
0.36|0|"3"|"OTHER PUBLIC"
39.12|447600|"31"|"OTHER PUBLIC"
665.97|0|"35"|"OTHER PUBLIC"
29.58|0|"39"|"OTHER PUBLIC"
5.01|876000|"4"|"OTHER PUBLIC"
18.40|2500|"40"|"OTHER PUBLIC"
45.11|25000|"41"|"OTHER PUBLIC"
12.66|0|"42"|"OTHER PUBLIC"
325.86|0|"46"|"OTHER PUBLIC"
7.59|0|"5"|"OTHER PUBLIC"
196.99|0|"7"|"OTHER PUBLIC"
2291.35|0|"9"|"OTHER PUBLIC"
325.86|0|"1"|"PARKS"
6882.53|56505212.74|"10"|"PARKS"
7224.95|15247572.79|"12"|"PARKS"
14340.72|7213855.03|"13"|"PARKS"
9509.12|4676731.12|"14"|"PARKS"
265.37|125018.62|"15"|"PARKS"
60.42|5|"16"|"PARKS"
1272.15|1078071.89|"18"|"PARKS"
6149.90|17430123.32|"19"|"PARKS"
1605.85|6708905.57|"2"|"PARKS"
3531.33|7494424.15|"20"|"PARKS"
126.98|100550|"22"|"PARKS"
141.37|68352|"23"|"PARKS"
8479.91|30141022.91|"24"|"PARKS"
1536.72|9791380.16|"26"|"PARKS"
446.47|610020|"27"|"PARKS"
2158.59|72346.75|"3"|"PARKS"
291.79|310|"30"|"PARKS"
1188.28|4067405.81|"31"|"PARKS"
92.97|46772|"33"|"PARKS"
2600.11|17418296.12|"35"|"PARKS"
5575.94|23773226.08|"39"|"PARKS"
13953.74|841984.56|"4"|"PARKS"
9292.83|19342847.61|"40"|"PARKS"
530.58|3426236|"41"|"PARKS"
378.38|415504|"42"|"PARKS"
325.86|0|"46"|"PARKS"
41.22|275000|"47"|"PARKS"
489.40|5203928.15|"48"|"PARKS"
6646.75|29497233.23|"5"|"PARKS"
6919.75|175122|"6"|"PARKS"
6091.30|2685633.88|"7"|"PARKS"
6905.50|1583863|"9"|"PARKS"
1405923.91|0|"1"|"PROPOSED DFW"
2633489.86|0|"10"|"PROPOSED DFW"
11657296.87|0|"12"|"PROPOSED DFW"
12924066.07|0|"13"|"PROPOSED DFW"
6216948.29|0|"14"|"PROPOSED DFW"
5470506.91|0|"15"|"PROPOSED DFW"
3977499.88|0|"16"|"PROPOSED DFW"
746441.38|0|"18"|"PROPOSED DFW"
1241800.38|0|"19"|"PROPOSED DFW"
3254059.47|0|"2"|"PROPOSED DFW"
4000500.85|0|"20"|"PROPOSED DFW"
1405923.91|0|"21"|"PROPOSED DFW"
495359.00|0|"22"|"PROPOSED DFW"
1405923.91|0|"23"|"PROPOSED DFW"
495359.00|0|"24"|"PROPOSED DFW"
495359.00|0|"26"|"PROPOSED DFW"
495359.00|0|"28"|"PROPOSED DFW"
1141558.59|0|"3"|"PROPOSED DFW"
4251707.50|0|"31"|"PROPOSED DFW"
1405923.91|0|"32"|"PROPOSED DFW"
495359.00|0|"35"|"PROPOSED DFW"
1405923.91|0|"38"|"PROPOSED DFW"
7530139.93|0|"39"|"PROPOSED DFW"
1141558.59|0|"4"|"PROPOSED DFW"
1227565.95|0|"40"|"PROPOSED DFW"
4631208.99|0|"42"|"PROPOSED DFW"
1405923.91|0|"44"|"PROPOSED DFW"
1405923.91|0|"45"|"PROPOSED DFW"
1405923.91|0|"46"|"PROPOSED DFW"
2898930.94|0|"5"|"PROPOSED DFW"
2639082.58|0|"6"|"PROPOSED DFW"
7488849.56|0|"7"|"PROPOSED DFW"
2758700.47|0|"8"|"PROPOSED DFW"
3048866.12|0|"9"|"PROPOSED DFW"
1476858.93|0|"1"|"PROPOSED DNR"
1762151.95|0|"10"|"PROPOSED DNR"
1476858.93|0|"11"|"PROPOSED DNR"
1476858.93|0|"12"|"PROPOSED DNR"
4337349.29|0|"13"|"PROPOSED DNR"
495359.00|0|"19"|"PROPOSED DNR"
495359.00|0|"2"|"PROPOSED DNR"
495359.00|0|"20"|"PROPOSED DNR"
362188.07|0|"21"|"PROPOSED DNR"
1168036.94|0|"22"|"PROPOSED DNR"
3239010.88|0|"23"|"PROPOSED DNR"
4643627.72|0|"24"|"PROPOSED DNR"
3007083.94|0|"26"|"PROPOSED DNR"
1476858.93|0|"27"|"PROPOSED DNR"
495359.00|0|"28"|"PROPOSED DNR"
1476858.93|0|"30"|"PROPOSED DNR"
1476858.93|0|"31"|"PROPOSED DNR"
1839047.00|0|"32"|"PROPOSED DNR"
1476858.93|0|"33"|"PROPOSED DNR"
1839047.00|0|"34"|"PROPOSED DNR"
2930188.89|0|"35"|"PROPOSED DNR"
1839047.00|0|"36"|"PROPOSED DNR"
1476858.93|0|"37"|"PROPOSED DNR"
1476858.93|0|"39"|"PROPOSED DNR"
1476858.93|0|"41"|"PROPOSED DNR"
1476858.93|0|"43"|"PROPOSED DNR"
1476858.93|0|"45"|"PROPOSED DNR"
1476858.93|0|"46"|"PROPOSED DNR"
1476858.93|0|"47"|"PROPOSED DNR"
1476858.93|0|"48"|"PROPOSED DNR"
1476858.93|0|"5"|"PROPOSED DNR"
1625530.13|0|"7"|"PROPOSED DNR"
